modelo,procesos,mejores_parametros,f1_cv_promedio,accuracy,precision,recall,f1_score,tiempo_segundos
SVM,6,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.6607792427564106,0.7517700957934194,0.7149171270718232,0.6568527918781726,0.6846560846560846,3327.521844625473
Random Forest,6,"{'max_depth': 20, 'n_estimators': 200}",0.5647968332527548,0.7192836318200749,0.7374045801526717,0.4903553299492386,0.5890243902439024,133.1736023426056
Logistic Regression,6,"{'C': 0.1, 'solver': 'lbfgs'}",0.6379370585147456,0.7234485630987089,0.6797312430011199,0.616243654822335,0.6464323748668797,18.919081926345825
